agent_id      current_username          proposed_username     personality_name
fighter-3     Blade 'Battler' Blackwoo  Blade Blackwood       Blade 'Battler' Blackwood
fighter-4     Clash 'Combat' Coleman    Clash Coleman         Clash 'Combat' Coleman
fighter-5     Defender 'Duel' Dawson    Defender Dawson       Defender 'Duel' Dawson
fighter-6     Enforcer 'Edge' Edwards   Enforcer Edwards      Enforcer 'Edge' Edwards
fighter-7     Fortress 'Fight' Fisher   Fortress Fisher       Fortress 'Fight' Fisher
fighter-8     Guardian 'Gladiator' Gra  Guardian Grant        Guardian 'Gladiator' Grant
fighter-9     Hunter 'Hit' Hayes        Hunter Hayes          Hunter 'Hit' Hayes
miner-1       Preston 'Pickaxe' Porter  Preston Porter        Preston 'Pickaxe' Porter
miner-10      Victor 'Vein' Vincent     Victor Vincent        Victor 'Vein' Vincent
miner-2       Orion 'Orky' Olander      Orion Olander         Orion 'Orky' Olander
miner-3       Derrick 'DeepCore' Drill  Derrick Driller       Derrick 'DeepCore' Driller
miner-4       Jacob 'AsteroidJoe' Jack  Jacob Jackson         Jacob 'AsteroidJoe' Jackson
miner-5       Magnus 'Magma' Miller     Magnus Miller         Magnus 'Magma' Miller
miner-6       Barnaby 'Bedrock' Burke   Barnaby Burke         Barnaby 'Bedrock' Burke
miner-7       Quincy 'Quarry' Quaid     Quincy Quaid          Quincy 'Quarry' Quaid
miner-8       Oliver 'Ore' Opals        Oliver Opals          Oliver 'Ore' Opals
miner-9       Silas 'Strike' Stone      Silas Stone           Silas 'Strike' Stone
pirate-1      ⚔️'                       Redbeard Cross        ⚔️
pirate-10     Blade 'Buccaneer' Blackw  Blade Blackwell       Blade 'Buccaneer' Blackwell
pirate-11     Captain 'Vortex' Vash     Captain Vash          Captain 'Vortex' Vash
pirate-12     Navigator 'Drift' Dax     Navigator Dax         Navigator 'Drift' Dax
pirate-13     Engineer 'Salvage' Soren  Engineer Soren        Engineer 'Salvage' Soren
pirate-14     Tactician 'Vector' Vega   Tactician Vega        Tactician 'Vector' Vega
pirate-15     Scout 'Wraith' Kara       Scout Kara            Scout 'Wraith' Kara
pirate-2      ☠                         Calico Jack Hollis    ☠
pirate-3      ☢                         Bartholomew Barnacle  ☢
pirate-4      ☣                         Karkoa Kaine          ☣
pirate-5      ⚀ ⚀                       Vera Snake-eyes       ⚀ ⚀
pirate-6      Rocco 'Razor' Redgrave    Rocco Redgrave        Rocco 'Razor' Redgrave
pirate-7      Vinnie 'Void' Vane        Vinnie Vane           Vinnie 'Void' Vane
pirate-8      Scurvy 'Seadog' Sanders   Scurvy Sanders        Scurvy 'Seadog' Sanders
pirate-9      Ransom 'Rogue' Reynolds   Ransom Reynolds       Ransom 'Rogue' Reynolds
random-4      Scott 'Scrapper' Sulliva  Scott Sullivan        Scott 'Scrapper' Sullivan
random-5      Scott 'Scrapper' Jr.      Scott Jr.             Scott 'Scrapper' Jr.
random-8      🤓                         Specs Mendoza         Specs
random-9      🤘                         Rocker Vargas         Rocker
salvager-1    Scott 'Salvager' Sullivn  Scott Sullivn         Scott 'Salvager' Sullivn
salvager-10   Junk 'Jackpot' Jackson    Junk Jackson          Junk 'Jackpot' Jackson
salvager-2    Jaxon 'JunkKing' Jarvis   Jaxon Jarvis          Jaxon 'JunkKing' Jarvis
salvager-3    Barrel 'Bin' Baxter       Barrel Baxter         Barrel 'Bin' Baxter
salvager-4    Cache 'Collect' Collins   Cache Collins         Cache 'Collect' Collins
salvager-5    Debris 'Dig' Davis        Debris Davis          Debris 'Dig' Davis
salvager-6    Fragment 'Find' Fletcher  Fragment Fletcher     Fragment 'Find' Fletcher
salvager-7    Gadget 'Gather' Grant     Gadget Grant          Gadget 'Gather' Grant
salvager-8    Heap 'Hunt' Henderson     Heap Henderson        Heap 'Hunt' Henderson
salvager-9    Iron 'Inspect' Ingram     Iron Ingram           Iron 'Inspect' Ingram
trader-1      Marcus 'Mercury' Mercer   Marcus Mercer         Marcus 'Mercury' Mercer
trader-10     Emerson 'Exchange' Edwar  Emerson Edwards       Emerson 'Exchange' Edwards
trader-2      Felix 'Flipper' Fletcher  Felix Fletcher        Felix 'Flipper' Fletcher
trader-3      Bartholomew 'Barter' Ban  Bartholomew Banks     Bartholomew 'Barter' Banks
trader-4      Sterling 'Silver' Solomo  Sterling Solomon      Sterling 'Silver' Solomon
trader-5      Preston 'Profit' Price    Preston Price         Preston 'Profit' Price
trader-6      Cornelius 'Commerce' Col  Cornelius Cole        Cornelius 'Commerce' Cole
trader-7      Maxwell 'Market' Miller   Maxwell Miller        Maxwell 'Market' Miller
trader-8      Victor 'Value' Vanderbil  Victor Vanderbilt     Victor 'Value' Vanderbilt
trader-9      Reginald 'Revenue' Reyno  Reginald Reynolds     Reginald 'Revenue' Reynolds
